Sender ID,Date,Message,Sentiment,Compound_Sentiment,Channel Name,Affiliated Channel,URLs,IP_Addresses,Hashes
-1001922060993,2024-04-03 13:53:45,"GarudaOps 🇮🇳 Officially Announce We Stand With Israel 🇮🇱

🇮🇳🤝🇮🇱 

Jai Hind 🇮🇳

#GARUDAOPS 
#Indian_Hacker","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,,,
-1001922060993,2024-04-02 08:31:32,"TEAM: CRYPTOJACKERS OF INDIA

SITE: https://lovehateinu.com.thetechstore.pk/about.php

POC : https://mirror-h.org/zone/5612022

Threat Actor : user@one$man

Greetz to : 
#NetworkNine
#Demonsec
#darkpredatorz
#AnonymousIndia
#lulzsec1ndia
#glorysec
#TeamUcc
#BlackDragonsec
#NwhSecurity
#KeralaCyberBlackSquad
#Indiancybermafia
#anonsec
#Darkcyberwarriors
#Darkcyberwarrior
#indian_rcf
#D4rkSidez
#Hacktivist_Vanguard
#GARUDAOPS
#teamlapsusindia

Jai hind Jai Bharat:🇮🇳","{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.4588}",-0.4588,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,"https://lovehateinu.com.thetechstore.pk,https://mirror-h.org",,
-1001922060993,2024-03-31 11:35:35,"TEAM: CRYPTOJACKERS OF INDIAN

Recoverd by : apex_root 

Greetz to : 
#NetworkNine
#Demonsec
#darkpredatorz
#AnonymousIndia
#lulzsec1ndia
#glorysec
#TeamUcc
#BlackDragonsec
#NwhSecurity
#KeralaCyberBlackSquad
#Indiancybermafia
#anonsec
#Darkcyberwarriors
#Darkcyberwarrior
#indian_rcf
#D4rkSidez
#Hacktivist_Vanguard
#GARUDAOPS
#teamlapsusindia

Jai hind Jai Bharat:🇮🇳


Jai hind Jai Bharat:🇮🇳","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,,,
-1001922060993,2024-03-31 08:51:06,"TEAM KCD 

site: https://www.makashemrajahs.edu.bd/

Threat Actor : M6_7600L 404

Greetz to : 

#NetworkNine
#Demonsec
#darkpredatorz
#AnonymousIndia
#lulzsec1ndia
#glorysec
#TeamUcc
#BlackDragonsec
#NwhSecurity
#KeralaCyberBlackSquad
#Indiancybermafia
#anonsec
#Darkcyberwarriors
#Darkcyberwarrior
#indian_rcf
#D4rkSidez
#Hacktivist_Vanguard
#GARUDAOPS
#teamlapsusindia

Jai india :🇮🇳","{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.4588}",-0.4588,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,https://www.makashemrajahs.edu.bd,,
-1001922060993,2024-03-31 03:19:36,"TEAM KCD

#Site : https://mahasib.com.pk

#Poc : https://mirror-h.org/zone/5610727

Threat Actor : M4O157

Greetz to : 
#NetworkNine
#Demonsec
#darkpredatorz
#AnonymousIndia
#lulzsec1ndia
#glorysec
#TeamUcc
#BlackDragonsec
#NwhSecurity
#KeralaCyberBlackSquad
#Indiancybermafia
#anonsec
#Darkcyberwarriors
#Darkcyberwarrior
#indian_rcf
#D4rkSidez
#Hacktivist_Vanguard
#GARUDAOPS
#teamlapsusindia

Jai hind Jai Bharat:🇮🇳","{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4588}",-0.4588,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,"https://mahasib.com.pk,https://mirror-h.org",,
-1001922060993,2024-03-30 04:28:31,"TEAM KCD

#opindokidz

Threat Actor : 90C_404 

Greetz to : 
#NetworkNine
#Demonsec
#darkpredatorz
#AnonymousIndia
#lulzsec1ndia
#glorysec
#TeamUcc
#BlackDragonsec
#NwhSecurity
#KeralaCyberBlackSquad
#Indiancybermafia
#anonsec
#Darkcyberwarriors
#Darkcyberwarrior
#indian_rcf
#D4rkSidez
#Hacktivist_Vanguard
#GARUDAOPS
#teamlapsusindia

Jai hind Jai Bharat:🇮🇳","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.4588}",-0.4588,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,,,
-1001922060993,2024-03-29 14:51:19,"GlorySec has observed that Bangladesh and Indonesia have neglected their own citizens, allowing them to engage in malicious activities, including attempting to attack American and Argentinian infrastructure. 

As a result, we issue this warning: we have already targeted 2000 Bengali and Indonesian websites. We demand that you address our grievances and meet our demands. 

Arrest the individuals engaged in these black hat activities within your borders, or we will escalate our actions. This is a serious warning, as your citizens have breached Western cyberspace. 

While we initially intended to let our Indian allies handle this matter, your actions have forced us to reconsider. 

Failure to apprehend these individuals will lead us to view your countries as supporters of terrorism. We will engage in cyber warfare against your nations, treating you as we do towards terrorists. 

We will provide you with one of the perpetrator's IP addresses for arrest. Use this individual as a whistleblower to identify and apprehend others involved. If the perpetrator alerts their associates or attempts to delete evidence, ensure they spend the rest of their lives behind bars.

- IPs of one of the Bengali Black Hats
103.137.40.201
103.137.40.203

- Bangladesh Multiple Dump
https://t.me/GlorySecStorage/12

Next we may post Indonesia and then we might post Bangladesh again if our ultimatum isn't met, if all of a sudden every black hat removes statements such as ""OPArgentina"" ""OPUSA"" ""OPCIA"" out of their posts and stops trying to target the western cyberspace we will cease this work.

#OPTerrorism","{'neg': 0.167, 'neu': 0.782, 'pos': 0.051, 'compound': -0.9841}",-0.9841,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,https://t.me,"103.137.40.201,103.137.40.203",
-1001922060993,2024-03-29 04:48:40,"🔰Bnagladeash cspghs.edu.bd Has Been Hacked By Team-NETWORK-Nine🔰
✅ Site https://cspghs.edu.bd/
♻️ mirror https://web.archive.org/web/20240329043246/https://cspghs.edu.bd/
☢️ Threat Actor solveig

⚠️ Stay Away From Indian Cyber Space ⚠️

☢️Greetz to
#Team NWH SECURITY 
#Demonsec
#Team D4RK PREDAT0RZ
#ʀᴀsʜᴛʀɪʏᴀ ᴄʏʙᴇʀ ғᴏʀᴄᴇ
#Team ucc
#Team BlackDragonsec
#indiancybermafia
#anonsec 
#cryptojackers india
#Hacktivist of vanguard
COUNTER CYBER ATTACK 
Jai Shree Ram ❤️","{'neg': 0.152, 'neu': 0.804, 'pos': 0.044, 'compound': -0.7717}",-0.7717,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,"https://cspghs.edu.bd,https://web.archive.org,https://cspghs.edu.bd",,
-1001922060993,2024-03-28 07:10:38,"🚨 **Bangladeshi college Website**  **Hacked By** @Hacktivist_Vanguard !!⚡️

#OpSAWAAL 🚨🥷 #BD ,

__Site  ✅ __ : https://govtdnc.edu.bd/

__PoC ✅__ : https://ownzyou.com/zone/219146

`Greetz to: ❤️🫂`
#Team Hacktivist Vanguard
#Team-Network-Nine #Team UCC
#Anonsec | #ʀᴀsʜᴛʀɪʏᴀ ᴄʏʙᴇʀ ғᴏʀᴄᴇ
#Demonsec | #Indian Cyber Force | #IndianCyberMafia | #Cryptojackers India #Team404Error #KeralaCyberXtractors
#Team BlackDragonsec #Team NWH SECURITY #Dark Cyber Warrior  #KeralaCyberBlackSquad #KeralaCyberDefenders

**#All**** India United Hackers**
#Stay Away From Indian Cyber Space 🫡","{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.7284}",0.7284,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,"https://govtdnc.edu.bd,https://ownzyou.com",,
-1001922060993,2024-03-27 02:57:05,"🔰Trade Testing Board of government Has Been Hacked By Team-NETWORK-Nine 🔰

✅ Site :-https://www.kpttb.gov.pk/

☢️ Threat Actor Rajput Haxor (Haxor1447)

⚠️ Stay Away From Indian Cyber Space ⚠️

☢️Greetz to
#Team NWH SECURITY 
#Demonsec
#Team D4RK PREDAT0RZ
#ʀᴀsʜᴛʀɪʏᴀ ᴄʏʙᴇʀ ғᴏʀᴄᴇ
#Team ucc
#Team BlackDragonsec
#indiancybermafia
#anonsec 
#cryptojackers india
#Hacktivist of vanguard
COUNTER CYBER ATTACK 
Jai Shree Ram ❤️","{'neg': 0.147, 'neu': 0.81, 'pos': 0.043, 'compound': -0.7717}",-0.7717,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘,,https://www.kpttb.gov.pk,,
